"name","scientific_name","description","image_link","cleaned_name","cleaned_description"
"Deinosuchus","Deinosuchus","Deinosuchus (“terrible crocodile”) was a genus of enormous alligatoroid crocodilian from the Late Cretaceous of North America, known for its massive skull and robust, thick osteoderms. It likely inhabited coastal and riverine environments and preyed on large vertebrates, potentially including dinosaurs at the water’s edge.","https://a-z-animals.com/media/2022/09/shutterstock_2170190883-1024x614.jpg","deinosuchus","[REDACTED] (“terrible crocodile”) was a genus of enormous alligatoroid crocodilian from the Late Cretaceous of North America, known for its massive skull and robust, thick osteoderms. It likely inhabited coastal and riverine environments and preyed on large vertebrates, potentially including dinosaurs at the water’s edge."
"Desert Ghost Ball Python","Python regius","A captive-bred Ball Python (Python regius) expressing the “Desert Ghost” genetic morph/line, valued for altered coloration and pattern and for how it affects appearance through aging (“keeps” contrast better than many lines). Not a recognized subspecies or separate species.","https://a-z-animals.com/media/2022/10/Desert-Ghost-Ball-Python-2-1024x848.jpg","desert ghost ball python","A captive-bred [REDACTED] [REDACTED] ([REDACTED] regius) expressing the “[REDACTED] [REDACTED]” genetic morph/line, valued for altered coloration and pattern and for how it affects appearance through aging (“keeps” contrast better than many lines). Not a recognized subspecies or separate species."
"Desert Kingsnake","Lampropeltis splendida","A nonvenomous colubrid snake of the southwestern United States and northern Mexico, known for banded or blotched patterning and for preying on a variety of small animals (including other snakes). Like other kingsnakes (Lampropeltis), it is a constrictor and is generally considered harmless to humans.","https://a-z-animals.com/media/2022/05/desert-kingsnake-2-1024x614.jpg","desert kingsnake","A nonvenomous colubrid snake of the southwestern United States and northern Mexico, known for banded or blotched patterning and for preying on a variety of small animals (including other snakes). Like other [REDACTED]s (Lampropeltis), it is a constrictor and is generally considered harmless to humans."
"Desert Locust","Schistocerca gregaria","A grasshopper (family Acrididae) famous for phase polyphenism: it can shift between a solitary form and a gregarious swarming form, producing large migratory swarms that can cause severe crop damage.","https://a-z-animals.com/media/2021/02/Desert-Locust-header-2-1024x439.jpg","desert locust","A grasshopper (family Acrididae) famous for phase polyphenism: it can shift between a solitary form and a gregarious swarming form, producing large migratory swarms that can cause severe crop damage."
"Desert Rain Frog","Breviceps macrops","A small, round-bodied burrowing frog endemic to coastal desert habitats of southwestern Africa, famous for its high-pitched defensive squeak and habit of emerging on foggy or rainy nights to forage.","https://a-z-animals.com/media/2021/02/desert-rain-frog-header-1024x439.jpg","desert rain frog","A small, round-bodied burrowing [REDACTED] endemic to coastal [REDACTED] habitats of southwestern Africa, famous for its high-pitched defensive squeak and habit of emerging on foggy or [REDACTED]y nights to forage."
"Desert Tortoise","Gopherus agassizii","A North American land tortoise adapted to arid habitats, known for living in burrows, slow growth, long lifespan, and herbivorous diet dominated by desert annuals and perennials.","https://a-z-animals.com/media/animals/images/original/desert_tortoise_3.jpg","desert tortoise","A North American land [REDACTED] adapted to arid habitats, known for living in burrows, slow growth, long lifespan, and herbivorous diet dominated by [REDACTED] annuals and perennials."
"Desert Wolf",NA,"The label “desert wolf” generally refers to a small-bodied, heat-adapted canid in the genus Canis (often a gray wolf subspecies), but usage varies by region and source.","https://a-z-animals.com/media/2022/12/shutterstock_1955285935-1024x683.jpg","desert wolf","The label “[REDACTED]” generally refers to a small-bodied, heat-adapted canid in the genus Canis (often a gray [REDACTED] subspecies), but usage varies by region and source."
"Desmostylus","Desmostylus","Desmostylus is an extinct genus of large-bodied, semi-aquatic (coastal) marine mammals belonging to Desmostylia, a North Pacific group of herbivorous mammals that lived primarily during the Oligocene–Miocene. Desmostylus is among the most iconic and well-studied desmostylians.","https://a-z-animals.com/media/2022/09/Desmostylus2DB-1024x731.jpg","desmostylus","[REDACTED] is an extinct genus of large-bodied, semi-aquatic (coastal) marine mammals belonging to Desmostylia, a North Pacific group of herbivorous mammals that lived primarily during the Oligocene–Miocene. [REDACTED] is among the most iconic and well-studied desmostylians."
"Deutsche Bracke","Canis lupus familiaris","The Deutsche Bracke is a German scenthound breed developed for tracking and hunting (especially hare and fox) using scent, often working over long distances with a steady voice. It is a medium-sized, athletic hound historically associated with traditional German hunting systems.","https://a-z-animals.com/media/animals/images/original/deutsche_bracke.jpg","deutsche bracke","The [REDACTED] is a German scenthound breed developed for tracking and hunting (especially hare and fox) using scent, often working over long distances with a steady voice. It is a medium-sized, athletic hound historically associated with traditional German hunting systems."
"Devil’s Coach Horse Beetle","Ocypus olens","A large, glossy-black rove beetle famous for its defensive posture—raising the abdomen like a scorpion—and for producing a strong odor from abdominal glands. It is a predatory beetle that hunts other invertebrates.","https://a-z-animals.com/media/2022/01/Devils-Coach-Horse-Beetle-header-1024x535.jpg","devil's coach horse beetle","A large, glossy-black rove [REDACTED] famous for its defensive posture—raising the abdomen like a scorpion—and for producing a strong odor from abdominal glands. It is a predatory [REDACTED] that hunts other invertebrates."
"Devon Rex","Felis catus","The Devon Rex is a distinctive domestic cat breed known for its very large ears, short muzzle, and soft, wavy/curly coat (often sparse in places). Originating in Devon, England, it is typically described as highly social, playful, and people-oriented.","https://a-z-animals.com/media/2021/11/Devon-Rex-header-1024x535.jpg","devon rex","The [REDACTED] is a distinctive domestic cat breed known for its very large ears, short muzzle, and soft, wavy/curly coat (often sparse in places). Originating in [REDACTED], England, it is typically described as highly social, playful, and people-oriented."
"Dhole","Cuon alpinus","The dhole (Asian wild dog) is a social, pack-living canid native to South and Southeast Asia, known for cooperative hunting and distinctive whistling calls.","https://a-z-animals.com/media/animals/images/original/dhole4.jpg","dhole","The [REDACTED] (Asian wild dog) is a social, pack-living canid native to South and Southeast Asia, known for cooperative hunting and distinctive whistling calls."
"Diamond Python","Morelia spilota spilota","The Diamond Python is a non-venomous constrictor python native to southeastern Australia, recognized as a subspecies of the Carpet Python (Morelia spilota). It is known for a bold black-and-cream ‘diamond’ pattern and a relatively cool-climate distribution compared with many other pythons.","https://a-z-animals.com/media/2022/07/morelia-spilota-diamond-shutterstock_17597533-1024x614.jpg","diamond python","The [REDACTED] is a non-venomous constrictor [REDACTED] native to southeastern Australia, recognized as a subspecies of the Carpet [REDACTED] (Morelia spilota). It is known for a bold black-and-cream ‘[REDACTED]’ pattern and a relatively cool-climate distribution compared with many other [REDACTED]s."
"Diamondback Moth","Plutella xylostella","A small moth (family Plutellidae) whose larvae feed primarily on plants in the mustard family (Brassicaceae). It is one of the world’s most significant agricultural pests due to rapid reproduction and frequent evolution of insecticide resistance.","https://a-z-animals.com/media/2022/06/diamondback-moth-1-1024x683.jpg","diamondback moth","A small [REDACTED] (family Plutellidae) whose larvae feed primarily on plants in the mustard family (Brassicaceae). It is one of the world’s most significant agricultural pests due to rapid reproduction and frequent evolution of insecticide resistance."
"Dickcissel","Spiza americana","The Dickcissel (Spiza americana) is a migratory North American passerine best known for its distinctive “dick-dick-ciss-ciss-ciss” song and its preference for open grasslands, prairies, and weedy fields.","https://a-z-animals.com/media/2022/12/Dickcissel-1024x683.jpg","dickcissel","The [REDACTED] (Spiza americana) is a migratory North American passerine best known for its distinctive “dick-dick-ciss-ciss-ciss” song and its preference for open grasslands, prairies, and weedy fields."
"Dickinsonia","Dickinsonia","Dickinsonia is a classic Ediacaran fossil genus (late Precambrian, ~571–541 Ma) known from flattened impressions of oval, bilaterally organized, quilted/segmented bodies. Many studies interpret it as an early animal or animal-grade metazoan, though its precise position within Metazoa is uncertain.","https://a-z-animals.com/media/2022/10/dickinsonia-extinct-creatures-of-the-ediacaran-era-one-of-the-first-picture-id1133064533-1024x614.jpg","dickinsonia","[REDACTED] is a classic Ediacaran fossil genus (late Precambrian, ~571–541 Ma) known from flattened impressions of oval, bilaterally organized, quilted/segmented bodies. Many studies interpret it as an early animal or animal-grade metazoan, though its precise position within Metazoa is uncertain."
"Dik-Dik","Madoqua","Dik-diks are very small African antelopes (genus Madoqua) known for their compact size, elongated snout, and secretive behavior in dense bush and scrub. They are typically monogamous and occupy small, defended territories.","https://a-z-animals.com/media/2021/09/Dik-dik-header-1024x439.jpg","dik-dik","[REDACTED]s are very small African antelopes (genus Madoqua) known for their compact size, elongated snout, and secretive behavior in dense bush and scrub. They are typically monogamous and occupy small, defended territories."
"Dilophosaurus","Dilophosaurus wetherilli","Dilophosaurus wetherilli was a medium-to-large early Jurassic theropod dinosaur (bipedal carnivore) notable for the paired crests on its skull. It is known primarily from the Kayenta Formation in what is now the southwestern United States.","https://a-z-animals.com/media/2022/10/Dilophosaurus-Model-1024x683.jpg","dilophosaurus","[REDACTED] wetherilli was a medium-to-large early Jurassic theropod dinosaur (bipedal carnivore) notable for the paired crests on its skull. It is known primarily from the Kayenta Formation in what is now the southwestern United States."
"Dimetrodon","Dimetrodon","Dimetrodon is an extinct genus of sail-backed synapsids (stem relatives of mammals) that lived during the Early Permian. It was a prominent terrestrial predator and is often mistakenly called a dinosaur, though it predates dinosaurs by tens of millions of years.","https://a-z-animals.com/media/2022/06/Shutterstock_1392997043-1024x614.jpg","dimetrodon","[REDACTED] is an extinct genus of sail-backed synapsids (stem relatives of mammals) that lived during the Early Permian. It was a prominent terrestrial predator and is often mistakenly called a dinosaur, though it predates dinosaurs by tens of millions of years."
"Diminutive Woodrat","Neotoma lepida","A small North American woodrat (packrat) known for building large stick-and-debris middens and for collecting/transporting assorted objects to its nest sites. Common in arid and semi-arid western habitats.","https://a-z-animals.com/media/2023/03/shutterstock_2048064710-1024x683.jpg","diminutive woodrat","A small North American [REDACTED] (packrat) known for building large stick-and-debris middens and for collecting/transporting assorted objects to its nest sites. Common in arid and semi-arid western habitats."
"Dingo","Canis lupus dingo","The dingo is an ancient, free-ranging canid of Australia, generally considered a subspecies/lineage within the gray wolf–domestic dog complex. It is a medium-sized canid with a typically sandy/yellowish coat, upright ears, and a bushy tail, and it plays a major ecological role as a top predator/scavenger in many Australian ecosystems.","https://a-z-animals.com/media/animals/images/original/dingo1.jpg","dingo","The [REDACTED] is an ancient, free-ranging canid of Australia, generally considered a subspecies/lineage within the gray wolf–domestic dog complex. It is a medium-sized canid with a typically sandy/yellowish coat, upright ears, and a bushy tail, and it plays a major ecological role as a top predator/scavenger in many Australian ecosystems."
"Dinocrocuta","Dinocrocuta","Dinocrocuta is an extinct genus of large carnivorous mammals, hyena-like in overall build and dentition, and commonly interpreted as a powerful bone-cracking/scavenging predator within the percrocutoid lineage rather than true hyenas.","https://a-z-animals.com/media/2022/11/Dinocrocuta-gigantea-1024x596.jpg","dinocrocuta","[REDACTED] is an extinct genus of large carnivorous mammals, hyena-like in overall build and dentition, and commonly interpreted as a powerful bone-cracking/scavenging predator within the percrocutoid lineage rather than true hyenas."
"Dinofelis","Dinofelis","Dinofelis (“terrible cat”) is an extinct genus of saber-toothed cats (subfamily Machairodontinae). Compared with the more extreme saber-tooths (e.g., Smilodon), Dinofelis generally had moderately elongated upper canines and robust forequarters, indicating a powerful ambush predator.","https://a-z-animals.com/media/2022/10/Dinofelis-1024x640.jpg","dinofelis","[REDACTED] (“terrible cat”) is an extinct genus of saber-toothed cats (subfamily Machairodontinae). Compared with the more extreme saber-tooths (e.g., Smilodon), [REDACTED] generally had moderately elongated upper canines and robust forequarters, indicating a powerful ambush predator."
"Dinopithecus","Dinopithecus","Dinopithecus is an extinct cercopithecid primate (Old World monkey) within the papionin lineage—close to modern baboons and mandrills. It is notable for its very large body size among fossil papionins and is primarily known from southern African fossil sites dating to the late Neogene/early Quaternary (Pliocene–Pleistocene).","https://a-z-animals.com/media/2022/09/Dinopithecus-1024x694.jpg","dinopithecus","[REDACTED] is an extinct cercopithecid primate (Old World monkey) within the papionin lineage—close to modern baboons and mandrills. It is notable for its very large body size among fossil papionins and is primarily known from southern African fossil sites dating to the late Neogene/early Quaternary (Pliocene–Pleistocene)."
"Dinosaur Shrimp","Triops","Triops are small freshwater branchiopod crustaceans (“tadpole shrimp”) known for their shield-like carapace, many legs, and rapid life cycle in temporary pools. The “dinosaur” nickname refers to their ancient lineage and appearance rather than being actual dinosaurs.","https://a-z-animals.com/media/2022/09/Dinosaur-shrimp-2-1024x632.jpg","dinosaur shrimp","Triops are small freshwater branchiopod crustaceans (“tadpole [REDACTED]”) known for their shield-like carapace, many legs, and rapid life cycle in temporary pools. The “[REDACTED]” nickname refers to their ancient lineage and appearance rather than being actual [REDACTED]s."
"Dinosaurs","Dinosauria","Dinosaurs (Dinosauria) are a major group of archosaur reptiles that dominated terrestrial ecosystems during the Mesozoic Era (Triassic, Jurassic, Cretaceous). They diversified into many forms including bipedal carnivores (theropods), long-necked giants (sauropodomorphs), and heavily armored or horned herbivores (thyreophorans and ceratopsians). Non-avian dinosaurs went extinct at the end of the Cretaceous (~66 million years ago), while birds survive as living dinosaurs.","https://a-z-animals.com/media/2022/10/Dinosaurs-1024x436.jpg","dinosaurs","[REDACTED] (Dinosauria) are a major group of archosaur reptiles that dominated terrestrial ecosystems during the Mesozoic Era (Triassic, Jurassic, Cretaceous). They diversified into many forms including bipedal carnivores (theropods), long-necked giants (sauropodomorphs), and heavily armored or horned herbivores (thyreophorans and ceratopsians). Non-avian [REDACTED] went extinct at the end of the Cretaceous (~66 million years ago), while birds survive as living [REDACTED]."
"Diplodocus","Diplodocus","Diplodocus is a genus of diplodocid sauropod dinosaurs from the Late Jurassic of western North America (notably the Morrison Formation). It is famous for its extremely long neck and tail, relatively slender build for a giant sauropod, and widespread representation in museum skeleton mounts.","https://a-z-animals.com/media/2022/06/diplodocus-dinosaur-1024x571.jpg","diplodocus","[REDACTED] is a genus of diplodocid sauropod dinosaurs from the Late Jurassic of western North America (notably the Morrison Formation). It is famous for its extremely long neck and tail, relatively slender build for a giant sauropod, and widespread representation in museum skeleton mounts."
"Diprotodon","Diprotodon","Diprotodon is an extinct genus of very large diprotodontid marsupials from Australia, best known from the Pleistocene. It is among the largest marsupials known and is a flagship member of Australia’s ‘megafauna’.","https://a-z-animals.com/media/2022/11/Diprotodon-Skull-1024x683.jpg","diprotodon","[REDACTED] is an extinct genus of very large [REDACTED]tid marsupials from Australia, best known from the Pleistocene. It is among the largest marsupials known and is a flagship member of Australia’s ‘megafauna’."
"Dire Wolf","Aenocyon dirus","The dire wolf (Aenocyon dirus) was a large, extinct canid that lived in North and parts of South America during the Late Pleistocene and into the early Holocene. It is best known from abundant fossil material (e.g., La Brea Tar Pits) and was a close relative of other canids but is now generally placed in its own genus, Aenocyon.","https://a-z-animals.com/media/2022/05/dire-wolf-isolated-1024x614.jpg","dire wolf","The [REDACTED] (Aenocyon dirus) was a large, extinct canid that lived in North and parts of South America during the Late Pleistocene and into the early Holocene. It is best known from abundant fossil material (e.g., La Brea Tar Pits) and was a close relative of other canids but is now generally placed in its own genus, Aenocyon."
"Disco Clam","Ctenoides ales","Ctenoides ales is a small marine bivalve (a file clam) famous for rapid, shimmering “flashes” produced by mantle tissue movements. It lives attached or nestled in reef crevices and is popular in the aquarium trade due to its striking display.","https://a-z-animals.com/media/2023/03/shutterstock_2023086044-1024x768.jpg","disco clam","Ctenoides ales is a small marine bivalve (a file [REDACTED]) famous for rapid, shimmering “flashes” produced by mantle tissue movements. It lives attached or nestled in reef crevices and is popular in the aquarium trade due to its striking display."
"Discus","Symphysodon","Discus are laterally compressed, disk-shaped South American cichlids (genus Symphysodon) famous in the ornamental fish trade. They inhabit calm, warm freshwater systems in the Amazon basin and are known for complex social behavior and biparental care (including mucus-feeding of fry in early development).","https://a-z-animals.com/media/discus-1-1024x535.jpg","discus","[REDACTED] are laterally compressed, disk-shaped South American cichlids (genus Symphysodon) famous in the ornamental fish trade. They inhabit calm, warm freshwater systems in the Amazon basin and are known for complex social behavior and biparental care (including mucus-feeding of fry in early development)."
"Diving Bell Spider (Water Spider)","Argyroneta aquatica","The diving bell spider is a freshwater spider famous for living almost entirely underwater by maintaining an air-filled 'diving bell' (a silk web structure) anchored to submerged vegetation.","https://a-z-animals.com/media/2022/09/iStock-1397305970-1024x678.jpg","diving bell spider","The [REDACTED] [REDACTED] [REDACTED] is a fresh[REDACTED] [REDACTED] famous for living almost entirely under[REDACTED] by maintaining an air-filled '[REDACTED] [REDACTED]' (a silk web structure) anchored to submerged vegetation."
"Diving Duck","Anatidae (subset: primarily diving lineages within Anatidae)","Diving ducks are ducks that commonly forage by diving beneath the surface for aquatic vegetation, invertebrates, or fish. Compared with dabbling ducks, they tend to sit lower in the water, have legs set farther back, and take off with a longer running start across the water.","https://a-z-animals.com/media/2022/11/Canvasback-Duck-1024x682.jpg","diving duck","[REDACTED]s are [REDACTED]s that commonly forage by [REDACTED] beneath the surface for aquatic vegetation, invertebrates, or fish. Compared with dabbling [REDACTED]s, they tend to sit lower in the water, have legs set farther back, and take off with a longer running start across the water."
"Doberman Pinscher","Canis lupus familiaris","The Doberman Pinscher is a medium-to-large domestic dog breed developed in Germany (late 19th century) for protection and companionship, known for athleticism, intelligence, and trainability.","https://a-z-animals.com/media/2021/02/Doberman-Pinscher-1024x683.jpg","doberman pinscher","The [REDACTED] is a medium-to-large domestic dog breed developed in Germany (late 19th century) for protection and companionship, known for athleticism, intelligence, and trainability."
"Dobsonfly","Corydalidae","Dobsonflies are large megalopteran insects in the family Corydalidae. Adults are short-lived and are often found near streams and rivers; their aquatic larvae (“hellgrammites”) are predatory and can be important indicators of good water quality.","https://a-z-animals.com/media/2022/09/Eastern-Dobsonfly-4-1019x1024.jpg","dobsonfly","Dobsonflies are large megalopteran insects in the family Corydalidae. Adults are short-lived and are often found near streams and rivers; their aquatic larvae (“hellgrammites”) are predatory and can be important indicators of good water quality."
"Dodo","Raphus cucullatus","The dodo was a large, flightless pigeon relative that lived only on Mauritius in the Indian Ocean. It became an emblematic example of human-driven extinction after the island’s colonization in the 17th century.","https://a-z-animals.com/media/dodo-6-1024x535.jpg","dodo","The [REDACTED] was a large, flightless pigeon relative that lived only on Mauritius in the Indian Ocean. It became an emblematic example of human-driven extinction after the island’s colonization in the 17th century."
"Doedicurus","Doedicurus","Doedicurus is an extinct genus of glyptodonts—large, heavily armored relatives within the armadillo lineage (order Cingulata). It lived in South America during the Pleistocene and is especially known for its robust tail ending in a massive, weapon-like club.","https://a-z-animals.com/media/2022/08/Doedicurus-1024x730.jpg","doedicurus","[REDACTED] is an extinct genus of glyptodonts—large, heavily armored relatives within the armadillo lineage (order Cingulata). It lived in South America during the Pleistocene and is especially known for its robust tail ending in a massive, weapon-like club."
"Types of Dogs: All Breeds From A-Z",NA,NA,NA,"types of dogs: all breeds from a-z",NA
"Dog Tick","Dermacentor variabilis","A hard tick (family Ixodidae) that parasitizes mammals—commonly dogs and also humans—especially in North America. Adults typically feed on medium-to-large mammals; immature stages often feed on small mammals.","https://a-z-animals.com/media/2022/02/Dog-Tick-header-1024x535.jpg","dog tick","A hard [REDACTED] (family Ixodidae) that parasitizes mammals—commonly [REDACTED]s and also humans—especially in North America. Adults typically feed on medium-to-large mammals; immature stages often feed on small mammals."
"Dogo Argentino","Canis lupus familiaris","The Dogo Argentino is a large, muscular, short-coated domestic dog breed developed in Argentina, historically selected for big-game hunting and later used in a variety of working roles and companionship.","https://a-z-animals.com/media/2023/11/GettyImages-1475455314-1024x683.jpg","dogo argentino","The [REDACTED] is a large, muscular, short-coated domestic dog breed developed in Argentina, historically selected for big-game hunting and later used in a variety of working roles and companionship."
"Dogue De Bordeaux","Canis lupus familiaris","The Dogue de Bordeaux (French Mastiff) is a large molosser-type domestic dog breed originating from France, historically used for guarding and working roles and today kept primarily as a companion and guardian breed.","https://a-z-animals.com/media/2021/04/Biggest-Dog-Breeds_-Dogue-de-Bordeaux-1024x535.jpg","dogue de bordeaux","The [REDACTED] (French Mastiff) is a large molosser-type domestic dog breed originating from France, historically used for guarding and working roles and today kept primarily as a companion and guardian breed."
"Dolphin","Delphinidae","Delphinidae (oceanic dolphins) are toothed whales characterized by a streamlined body, a well-developed melon used in echolocation, and complex social behavior. The family includes many of the animals most people mean by “dolphin,” from bottlenose dolphins to orcas and pilot whales.","https://a-z-animals.com/media/2018/09/Dolphin-header-1024x439.jpg","dolphin","Delphinidae (oceanic [REDACTED]s) are toothed whales characterized by a streamlined body, a well-developed melon used in echolocation, and complex social behavior. The family includes many of the animals most people mean by “[REDACTED],” from bottlenose [REDACTED]s to orcas and pilot whales."
"Donkey","Equus asinus","The domestic donkey is a domesticated equid used worldwide as a working and companion animal; it descends primarily from African wild asses and is closely related to horses and zebras.","https://a-z-animals.com/media/2020/07/donkey-bay-1024x683.jpg","donkey","The domestic [REDACTED] is a domesticated equid used worldwide as a working and companion animal; it descends primarily from African wild asses and is closely related to horses and zebras."
"Dorgi","Canis lupus familiaris","A Dorgi is a mixed-breed domestic dog produced by crossing a Dachshund with a Welsh Corgi (Pembroke or Cardigan). It is not a standardized, formally recognized pure breed in most kennel-club systems, but is commonly treated as a “designer dog” type.","https://a-z-animals.com/media/2021/10/Dorgi-header-1024x439.jpg","dorgi","A [REDACTED] is a mixed-breed domestic dog produced by crossing a Dachshund with a Welsh Corgi (Pembroke or Cardigan). It is not a standardized, formally recognized pure breed in most kennel-club systems, but is commonly treated as a “designer dog” type."
"Dorkie","Canis lupus familiaris","The Dorkie is a small companion dog type produced by crossing a Dachshund with a Yorkshire Terrier. As a mixed/designer dog, appearance and temperament can vary depending on which parent traits dominate.","https://a-z-animals.com/media/2021/04/Dorkie-header-2-1024x439.jpg","dorkie","The [REDACTED] is a small companion dog type produced by crossing a Dachshund with a Yorkshire Terrier. As a mixed/designer dog, appearance and temperament can vary depending on which parent traits dominate."
"Dorking Chicken","Gallus gallus domesticus","The Dorking is an old British breed of domestic chicken historically associated with the town of Dorking (Surrey, England). It is typically kept as a heritage dual-purpose breed (meat and eggs) and is notable among chickens for having five toes rather than the usual four.","https://a-z-animals.com/media/2025/10/shutterstock-1234762096-huge-licensed-scaled-1024x680.jpg","dorking chicken","The [REDACTED] is an old British breed of domestic [REDACTED] historically associated with the town of [REDACTED] (Surrey, England). It is typically kept as a heritage dual-purpose breed (meat and eggs) and is notable among [REDACTED]s for having five toes rather than the usual four."
"Dormouse","Gliridae","Dormice are small to medium-sized rodents in the family Gliridae, typically nocturnal and often arboreal. Many species are notable for long periods of torpor or hibernation and for nesting in tree cavities or dense vegetation.","https://a-z-animals.com/media/animals/images/original/dormouse.jpg","dormouse","Dormice are small to medium-sized rodents in the family Gliridae, typically nocturnal and often arboreal. Many species are notable for long periods of torpor or hibernation and for nesting in tree cavities or dense vegetation."
"Double Doodle","Canis lupus familiaris","A domestic dog designer cross typically produced by mixing Labradoodle and Goldendoodle lineages, resulting in variable coat type (wavy/curly), size, and temperament; often marketed as friendly, sociable companion dogs.","https://a-z-animals.com/media/2026/02/shutterstock-2667361961-huge-licensed-1-scaled-1024x683.jpg","double doodle","A domestic dog designer cross typically produced by mixing Labra[REDACTED] and Golden[REDACTED] lineages, resulting in variable coat type (wavy/curly), size, and temperament; often marketed as friendly, sociable companion dogs."
"Douc","Pygathrix","Douc langurs are Southeast Asian colobine monkeys (leaf monkeys) known for exceptionally colorful facial and limb markings, social group living, and a specialized, leaf-heavy diet supported by a complex foregut-fermentation system.","https://a-z-animals.com/media/2021/11/Douc-header-1024x535.jpg","douc","[REDACTED] langurs are Southeast Asian colobine monkeys (leaf monkeys) known for exceptionally colorful facial and limb markings, social group living, and a specialized, leaf-heavy diet supported by a complex foregut-fermentation system."
"Downy Woodpecker","Dryobates pubescens","The Downy Woodpecker is a small North American woodpecker common in woodlands, parks, and backyards. It forages on tree trunks and branches for insects and also visits suet and seed feeders.","https://a-z-animals.com/media/2022/08/shutterstock_1391637632-1024x819.jpg","downy woodpecker","The [REDACTED] is a small North American [REDACTED] common in woodlands, parks, and backyards. It forages on tree trunks and branches for insects and also visits suet and seed feeders."
"Doxiepoo","Canis lupus familiaris","The Doxiepoo is a mixed-breed domestic dog produced by crossing a Dachshund with a Poodle (often Toy or Miniature). As a hybrid, appearance and temperament can vary widely depending on parentage and generation (F1, backcrosses, etc.).","https://a-z-animals.com/media/2021/03/iStock-1418157107-1024x682.jpg","doxiepoo","The [REDACTED] is a mixed-breed domestic dog produced by crossing a Dachshund with a Poodle (often Toy or Miniature). As a hybrid, appearance and temperament can vary widely depending on parentage and generation (F1, backcrosses, etc.)."
"Doxle","Canis lupus familiaris","The Doxle is a small-to-medium companion dog produced by crossing a Beagle with a Dachshund. Traits vary widely by individual, but they often combine the Beagle’s scent-hound tendencies with the Dachshund’s long-backed body shape and bold temperament.","https://a-z-animals.com/media/2021/04/doxle-header-1024x439.jpg","doxle","The [REDACTED] is a small-to-medium companion dog produced by crossing a Beagle with a Dachshund. Traits vary widely by individual, but they often combine the Beagle’s scent-hound tendencies with the Dachshund’s long-backed body shape and bold temperament."
"Draco Volans Lizard","Draco volans","Draco volans is a small agamid lizard known for its ability to glide between trees using a pair of extendable rib-supported membranes (patagia). It is often called a “flying lizard,” though it does not truly fly under powered flight.","https://a-z-animals.com/media/2021/09/Draco-volans-header-1024x439.jpg","draco volans lizard","[REDACTED] [REDACTED] is a small agamid [REDACTED] known for its ability to glide between trees using a pair of extendable rib-supported membranes (patagia). It is often called a “flying [REDACTED],” though it does not truly fly under powered flight."
"Dragon Eel","Enchelycore pardalis","The dragon moray eel is a striking Indo-Pacific reef moray known for a leopard-like pattern, bright coloration, and horn-like nasal tubes. It is a nocturnal ambush predator that lives in crevices and hunts fishes and crustaceans with powerful jaws and prominent teeth.","https://a-z-animals.com/media/2022/09/shutterstock_147619913-1024x683.jpg","dragon eel","The [REDACTED] moray [REDACTED] is a striking Indo-Pacific reef moray known for a leopard-like pattern, bright coloration, and horn-like nasal tubes. It is a nocturnal ambush predator that lives in crevices and hunts fishes and crustaceans with powerful jaws and prominent teeth."
"Dragon Snake (Javan Tubercle Snake, Javan Mudsnake)","Xenodermus javanicus","Xenodermus javanicus is a small, secretive, nocturnal Southeast Asian snake notable for strongly keeled, rough-textured scales (giving a “dragon-like” appearance). It is generally associated with humid forest habitats and is infrequently encountered.","https://a-z-animals.com/media/2023/03/shutterstock-1298466979-huge-licensed-scaled-1024x743.jpg","dragon snake","Xenodermus [REDACTED]icus is a small, secretive, nocturnal Southeast Asian [REDACTED] notable for strongly keeled, rough-textured scales (giving a “[REDACTED]-like” appearance). It is generally associated with humid forest habitats and is infrequently encountered."
"Dragonfish",NA,"The name “dragonfish” is not taxonomically precise; it refers to multiple fish lineages depending on region and context (deep-sea biology, Antarctic fauna, or aquarium trade).","https://a-z-animals.com/media/dragonfish-5.jpg","dragonfish","The name “[REDACTED]” is not taxonomically precise; it refers to multiple fish lineages depending on region and context (deep-sea biology, Antarctic fauna, or aquarium trade)."
"Dragonfly","Odonata","Dragonflies are predatory flying insects in the order Odonata (more precisely, the suborder Anisoptera). They are known for large compound eyes, strong flight, and aquatic juvenile stages (nymphs) that prey on other small aquatic animals.","https://a-z-animals.com/media/2019/11/Dragonfly-header-1024x439.jpg","dragonfly","Dragonflies are predatory flying insects in the order Odonata (more precisely, the suborder Anisoptera). They are known for large compound eyes, strong flight, and aquatic juvenile stages (nymphs) that prey on other small aquatic animals."
"Dreadnoughtus","Dreadnoughtus schrani","Dreadnoughtus schrani is a gigantic titanosaurian sauropod dinosaur from the Late Cretaceous of what is now Patagonia (Argentina). It was a long-necked, quadrupedal herbivore and is notable for being represented by relatively substantial fossil material for a titanosaur.","https://a-z-animals.com/media/2022/06/Dreadnoughtus_NT_small.jpg","dreadnoughtus","[REDACTED] schrani is a gigantic titanosaurian sauropod dinosaur from the Late Cretaceous of what is now Patagonia (Argentina). It was a long-necked, quadrupedal herbivore and is notable for being represented by relatively substantial fossil material for a titanosaur."
